ticker,date,analysis_date,model,market_premium,risk_free_rate,beta,alpha,r_squared,expected_return_capm,market_beta,smb_beta,hml_beta,ff_alpha,ff_r_squared,expected_return_ff,smb_premium,hml_premium,sharpe_ratio
EXC,2025-03-14,2025-03-14 21:59:25,fama_french,0.11764179884946373,0.024669657624011514,0.8626028092805456,-0.018533120181996255,0.4053833594124905,0.12614780380037577,1.0378381179431084,-0.26757381297744887,0.7548539152924905,0.022717453357163974,0.5268390657438631,0.1046512008900096,-0.05481777160322243,-0.0752190574359959,0.2868002927160184
FANG,2025-03-14,2025-03-14 21:59:25,fama_french,0.11764179884946373,0.024669657624011514,1.2044833640234838,0.1693334254365832,0.19002590540517883,0.1663672472519876,1.3448345666600496,0.7472299948982242,1.2469813426281193,0.3126234751135581,0.36011964812814357,0.04812017077267108,-0.05481777160322243,-0.0752190574359959,0.5273226781524472
FAST,2025-03-14,2025-03-14 21:59:25,fama_french,0.11764179884946373,0.024669657624011514,0.8959260986701045,0.06625345039577127,0.4857061412292971,0.13006801550774474,0.9232572879212656,-0.017671466270939348,0.1338088264787458,0.07544617873988185,0.4903395510234485,0.12418704237353285,-0.05481777160322243,-0.0752190574359959,0.6255040766198144
FTNT,2025-03-14,2025-03-14 21:59:25,fama_french,0.11764179884946373,0.024669657624011514,1.1963777985595716,0.23364719888081148,0.31400132815228143,0.16541369395012087,1.0303679383548268,0.17881362268867612,-0.7650026266204477,0.1860061430016612,0.3661199117720343,0.19362460755124522,-0.05481777160322243,-0.0752190574359959,0.8214671909341486
GEHC,2025-03-14,2025-03-14 21:59:25,fama_french,0.16388822170519407,0.049859158437545986,0.9792815454992004,-0.03211041599716176,0.18468102547071596,0.210351869478124,1.0250377223722322,0.15890405858619222,0.17501210920000998,0.007713122033008743,0.20019039245909365,0.19597575565356024,-0.05481777160322243,-0.0752190574359959,0.4345121019481404
GILD,2025-03-14,2025-03-14 21:59:25,fama_french,0.11764179884946373,0.024669657624011514,0.4576870260947884,0.06563321015114595,0.1387297135669504,0.07851278268386387,0.5404492198752665,-0.18047472509443963,0.3203662721974675,0.07891212918214849,0.16552425176637442,0.07404464926833135,-0.05481777160322243,-0.0752190574359959,0.45547567473245687
GOOG,2025-03-14,2025-03-14 21:59:25,fama_french,0.11764179884946373,0.024669657624011514,1.126582417380687,0.10397873110228076,0.5511779168313868,0.1572028397568529,1.0217103542017907,-0.0749886272378865,-0.6088362994581339,0.05233233453896461,0.634846327514681,0.19477230361425912,-0.05481777160322243,-0.0752190574359959,0.7301349019179106
GOOGL,2025-03-14,2025-03-14 21:59:25,fama_french,0.11764179884946373,0.024669657624011514,1.1326880295778525,0.10192681133582186,0.5532291993011853,0.15792111495880468,1.027594007048401,-0.07684984045202797,-0.6112623162152497,0.04997589522244115,0.6371618356375617,0.19574897737361202,-0.05481777160322243,-0.0752190574359959,0.723446762052086
HON,2025-03-14,2025-03-14 21:59:25,fama_french,0.11764179884946373,0.024669657624011514,0.9398598184134462,-0.03226250053366223,0.5449594667079931,0.13523645732849965,1.0540609204811235,0.010858807645408542,0.6156948631110197,0.015860087276974924,0.6560832158847552,0.10176403749754767,-0.05481777160322243,-0.0752190574359959,0.28811891925571687
IDXX,2025-03-14,2025-03-14 21:59:25,fama_french,0.11764179884946373,0.024669657624011514,1.034751581683383,0.002561705933462574,0.40606643886654503,0.1463996950555725,0.888545321126832,0.23583840189965316,-0.6213952594480201,-0.03041178959075395,0.4631341022249693,0.16301235762091848,-0.05481777160322243,-0.0752190574359959,0.35856829101988374
